ID ACB,Nombre ACB,ID Eurocup,Nombre Eurocup,ID Euroleague,Nombre Euroleague,ID Saporta,Nombre Saporta,ID Copa del Rey,Nombre Copa del Rey
20201020,R. Íñiguez,,,,,,,,
20202294,M. Bosch,,,,,,,,
20200718,B. Branson,,,,,,,,
20200780,E. Clavero,,,,,,,,
20200715,S. Coterón,,,,,,,,
20200853,J. Herranz,,,,,,,,
20200717,J. Morales,,,,,,,,
20202388,C. Mayes,,,,,,,,
20200657,M. Pou,,,,,,,,
20202332,J. Cooper,,,,,,,,
20202515,W. Engelstad,,,,,,,,
20200714,I. Díaz,,,,,,,,
20200716,S. Díez,,,,,,,,
20200976,J. Rogers,,,,,,,,
20200974,H. Wood,,,,,,,,
20200954,J. Marí,,,,,,,,
20200932,C. Gallén,,,,,,,,
20200722,J. González,,,,,,,,
20200721,L. Micheaux,,,,,,,,
20200720,J. Barros,,,,,,,,
20200719,C. Dicenta,,,,,,,,
20201004,J. Fuster,,,,,,,,
20200736,C. Elejabeitia,,,,,,,,
20200890,A. Fabón,,,,,,,,
20201057,J. Viguer,,,,,,,,
20201137,G. Sendra,,,,,,,,
20201193,C. Alonso,,,,,31427,"Alonso Gracia, C.",20201193,C. Alonso
20201186,C. Henry,,,,,,,,
20200664,P. Rodríguez,,,,,,,,
20201173,E. Johnson,,,,,,,,
20201209,A. Kennedy,,,,,,,,
20201211,J. Llamas,,,,,,,,
20201212,V. Luengo,BNA,"LUENGO, VICTOR",BNA,"LUENGO, VICTOR",10666,"Luengo Ciscar, V.",20201212,V. Luengo
20201254,M. Smith,,,,,,,,
20201054,C. Bueno,,,,,,,,
20201265,J. Fernández,,,,,,,,
20201287,T. Breaux,,,,,,,,
20200834,J. Ruiz,,,,,,,,
20201324,J. Grant,,,,,,,,
20201325,R. Mason,,,,,,,,
20201326,W. Kidd,,,,,,,,
20200744,X. Crespo,,,,,,,,
