ID,Team
[LIE],7Bet-Lietkabelis Panevezys
[EST],Adecco Estudiantes Madrid
[BER,ALB],Alba Berlin
[WLO],Anwil Wloclawek
[ARI],Aris Midea Thessaloniki
[ART],Artland Dragons
[AZO],Azovmash Mariupol
[BAN],Banvit Bandirma
[BCM],BCM Gravelines
[MET],Boulogne Metropolitans 92
[BUD],Buducnost VOLI Podgorica
[CAI],CAI Zaragoza
[COL,UOL],Cedevita Olimpija Ljubljana
[CED],Cedevita Zagreb
[NYM],CEZ Basketball Nymburk
[VAR],Cimberio Varese
[JLB],Cosea JL Bourg-en-Bresse
[CZV],Crvena Zvezda mts Belgrade
[ASE],CSU Asesoft Ploiesti
[CJB],Joventut Badalona
[TRE],Dolomiti Energia Trento
[CHA],Elan Chalon
[ROS],Eurocellulari Roseto
[EWE],EWE Baskets Oldenburg
[BAY],FC Bayern Munich
[ZEL],FMP Zeleznik
[FOR],Fortitudo Bologna
[FEB],Bursaspor
[GAL],Galatasaray
[GCA],Gran Canaria
[HHT,HAM],Hamburg Towers
[JER,JLM,HAP],Hapoel Jerusalem
[HTA],Hapoel Shlomo Tel Aviv
[VRS],Hemofarm Stada
[KHI],Khimki Moscow Region
[MES],KRKA Novo Mesto
[ASV],LDLC ASVEL Villeurbanne
[LMS],Le Mans
[LRY],Lietuvos Rytas Vilnius
[LIM.CSP],Limoges CSP
[LOK],Lokomotiv Kuban Krasnodar
[LUK],Lukoil Academic
[NIZ],Nizhny Novgorod
[FRA],Opel Skyliners
[OVA],Ovarense Aerosoles
[PLL],Panellinios OPAP Athens
[PNI],Panionios On Telecoms
[PBC],PAOK Thessaloniki
[PLV],Paris Levallois
[PAR],Partizan Belgrade
[PRO],Promitheas Patras
[SPI],Proximus Spirou Charleroi
[QUE],Queluz Sintra
[ULM],Ratiopharm Ulm
[RYT],Rytas Vilnius
[WUZ],s.Oliver Baskets Wurzburg
[FSK],Skyliners Frankfurt
[SLU],SLUC Nancy
[ZGA],Stelmet Zielona Gora
[OOS,OST],Telenet Oostende
[TRM],Triumph Lyubertsy
[TTA],Turk Telekom Ankara
[UBT],U-BT Cluj-Napoca
[URV],Umana Reyer Venice
[UNI],Unicaja Malaga
[UNK],UNICS Kazan
[GBB],Bilbao Basket
[VEF],VEF Riga
[VIR],Virtus Bologna
[ZAD],Zadar
[ZEN],Zenit St Petersburg
[LAS],Zlatorog Lasko
