ID Rival,Equipo Rival
2196,ASK Brocéni
2444,UKJ Süba
3129,KK Buducnost
2419,Hapoel
1474,ZEPTER IDEA
2861,Atomerömü SE
2264,BC Split
1065,Joventut Badalona
989,Aris BSA
2090,Benetton
2261,Achilleas
5690,DELTA
1169,KK Zadar
2659,KK Savinjski Hopsi
2667,Arsenal
2262,Region Wallonne
5295,Elan Chalon
1315,Virtus Buckler Bologna
5308,GS Amaroussi
959,Hapoel Galil Elyon
4050,Pivovarna
5314,Pinar Karsiyaka Spor Kulubu
3136,Besiktas JK
2293,Keravnos Keo
5956,Snaidero Basketball
2477,Lugano Snakes
2661,Strasbourg IG
4063,Portugal Telecom
2627,Türk Telekom SC
1452,Adecco Estudiantes
4067,Telekom Baskets
2476,Anwil
2408,Comerson Siena
